;Поисковая оптимизация SEO и продвижение сайтов;
;Анализ данных, ETL, ML: SQL, Python, R, Microsoft Excel;
;Контекстная реклама: Yandex Direct, Google Ads;
;Программирование: Python (Pandas, Numpy, Scipy, Scikit-Learn, NLTK), R;
;Языки разметки: HTML, XML, CSS;
;СУБД: PostgreSQL, MySQL, ClickHouse;
;Системы веб-аналитики: Yandex Metrika, Google Analytics;
;BI и дешбординг: Microsoft Power BI, Google Data Studio, Tableau;
;API: Yandex (Webmaster, Metrika), VK, Text.ru;
;CRM: Bitrix24;
;Водительские права: категории B, C;
2007;МГУП им. И. Федорова, Москва;
;Московская школа рекламы;
;Реклама, очно-заочное отделение;
2004;МИВлГУ им. Столетовых, Муром;
;Факультет информационных технологий;
;Кафедра информационных систем;
;Информационные системы в технике и технологиях, очное отделение;
;Инженер;
2017–н.в.;G-STORE LLC (RU);
;Веб-аналитик, консультант по поисковой оптимизации;
;Консалтинг, анализ данных, дешбординг;
2017–2020;Онлайн-журнал Aromo.ru;
;SEO-специалист;
;Поисковая оптимизация с нуля, участие в разработке;
2017–2019;Интернет-магазин Randewoo.ru;
;Главный SEO-специалист;
;Поисковая оптимизация и продвижение;
2017–2019;Сеть свадебных салонов Love Forever;
;SEO-специалист;
;Поисковая оптимизация и продвижение, анализ данных, дешбординг;
2008–2016;ИП Попов М.Н.;
;Руководитель;
;Услуги по поисковой оптимизации и контекстной рекламе;
2005–2008;BDBD;
;Ведущий SEO-специалист (более 100 клиентов);
;Центр обучения «Специалист.Ру» при МГТУ им. Н.Э. Баумана;https://www.specialist.ru/graduate/groupcert/2060079
;Повышение квалификации, «M20778C: Анализ данных в Microsoft Power BI»;
;Bioinformatics Institute;https://stepik.org/cert/360942
;«Введение в Data Science и машинное обучение», Stepik;
;Bioinformatics Institute;https://stepik.org/cert/284715
;«Анализ данных в R», Stepik;
;Bioinformatics Institute;https://stepik.org/cert/289428
;«Анализ данных в R (часть 2)», Stepik;
;Bioinformatics Institute;https://stepik.org/cert/286544
;«Основы статистики (часть 2)», Stepik;
;Computer Science Center (CS центр);https://stepik.org/cert/393476
;«Введение в базы данных», Stepik;
;Microsoft Docs Learn;https://docs.microsoft.com/ru-ru/users/mpopov/achievements
;«Основы обработки и анализа данных», docs.microsoft.com;
;«Моделирование данных в Power BI», «Визуализация данных в Power BI»;
;НИУ ВШЭ, ЦНО ФКН;
;«Python для автоматизации и анализа данных»;
;Университет «Высшая школа экономики» & Yandex School of Data;
;«Python для анализа данных», Coursera;
;АНО ДПО «Корпоративный университет Сбербанка»;
;«Python для анализа данных», Sberbank-school.ru;
;Академия искусственного интеллекта;
;«Курс по машинному обучению», Ai-academy.ru;
;Московский физико-технический институт, ФРОО & Mail.Ru Group;
;«Введение в машинное обучение», Coursera;
;Санкт-Петербургский государственный университет (СПбГУ);
;«Просто о статистике (с использованием R)», Coursera;
;МФТИ & Yandex E-Learning Development Fund;
;«Математика и Python для анализа данных», Coursera;
;Санкт-Петербургский государственный университет (СПбГУ);
;«Практики создания аналитических панелей в среде Microsoft Power BI», Coursera;